uri,type,topConceptOf,inScheme,prefLabel,notation,definition,variabele,drager,Parameter Drager Omschrijving,waardebepaling,Parameter Soort Waardebepaling Omschrijving,Parameter Soort Waardebepaling Type Code,Parameter Soort Waardebepaling Type Omschrijving
P_1969,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Vanadium,V mo,"Vanadium, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/LEONUFNNVUYDNQ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_866,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,cis-Chloordaan,cCdaan,cis-Chloordaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BIWJNBZANLAXMG-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1909,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Aluminium,Al mo,"Aluminium, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XAGFODPZIPBFFR-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_1153,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Natrium,Na t,"Natrium, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/FKNQFGJONOIPTF-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_1293,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cyaniden,CN- ncox,"Cyaniden, niet-chloor oxydeerbaar",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XFXPMWWXUTWYJX-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_14,niet-chloor oxydeerbaar,,
P_472,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Titaan,Ti o,"Titaan, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RTAQQCXQSZGOHL-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_867,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,cis-Chloordaan,cCdaan,cis-Chloordaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BIWJNBZANLAXMG-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_496,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Ethylbenzeen,EyBz,Ethylbenzeen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YNQLUTRBYVCPMQ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_810,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Trichloormethaan,TCMa,Trichloormethaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/HEDRZPFGACZZDS-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_437,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Koper,Cu,Koper,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RYGMFSIKBFXOCR-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1852,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Kobalt,Co mt,"Kobalt, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/GUTLYIVDDKVIGB-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_1186,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Mangaan,Mn t,"Mangaan, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PWHULOQIROXLJO-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_3,totaal,,
P_468,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Tin,Sn o,"Tin, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ATJFFYVFTNAWJD-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1624,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Pentabroomdifenylether,PBDE,Pentabroomdifenylether,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WHPVYXDFIXRKLN-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1916,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Calcium,Ca mo,"Calcium, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/OYPRJOBELJOOCE-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_1926,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Ijzer,Fe mo,"Ijzer, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XEEYBQQBJWHFJM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_407,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Arseen,As,Arseen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RQNWIZPPADIBDY-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_973,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cyaniden,CN- cox,"Cyaniden, chloor oxydeerbaar",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XFXPMWWXUTWYJX-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_20,chloor oxydeerbaar per droge stof,DS,per droge stof
P_208,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Tin,Sn t+,"Tin, totaal incl. oxiden",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ATJFFYVFTNAWJD-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_26,totaal incl. oxiden,,
P_864,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,trans-Chloordaan,tCdaan,trans-Chloordaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BIWJNBZANLAXMG-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_517,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Aldrin,Aldrin,Aldrin,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/QBYJBZPUGVGKQQ-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_761,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,2-Chloorfenol,2CFol,2-Chloorfenol,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ISPYQTSUDJAMAB-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1945,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Fosfor,P mo,"Fosfor, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/OAICVXFJPJFONN-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_1244,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"3,3',4,4',5,5'-Hexachloorbifenyl (PCB169)",PCB 169,"3,3',4,4',5,5'-Hexachloorbifenyl (PCB169)",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZHLICBPIXDOFFG-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_297,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Nitraat,NO3-,Nitraat,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/NHNBFGGVMKEFGY-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_535,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Heptachloor,HpC,Heptachloor,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/FRCCEHPWNOQAEU-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_386,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Zwevende stoffen,ZS,Zwevende stoffen,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/zs,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1920,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chroom,Cr mo,"Chroom, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/VYZAMTAEIAYCRO-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_1992,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Ijzer,MUCd-Fe o,"Ijzer, MUCd project opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XEEYBQQBJWHFJM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_69,MUCd project opgelost,,
P_315,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Fosfor,P it,"Fosfor, anorganisch totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/OAICVXFJPJFONN-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_17,anorganisch totaal,,
P_392,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Ammonium,NH4+,Ammonium,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/QGZKDVFQNNGYKY-UHFFFAOYSA-O,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1628,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"Chroom, zeswaardig",Cr6+ o,"Chroom, zeswaardig, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/JOPOVCBBYLSVDA-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1467,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Perfluoroctaanzuur (PFOA),PFOA,Perfluoroctaanzuur (PFOA),https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/SNGREZUHAYWORS-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_779,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,4-Chloor-3-methylfenol,4C3MyFol,4-Chloor-3-methylfenol,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CFKMVGJGLGKFKI-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_148,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Benzo(b)fluorantheen,B(b)Flu o,"Benzo(b)fluorantheen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/FTOVXSOBNPWTSH-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_784,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,4-Chloortolueen,4CTol,4-Chloortolueen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/NPDACUSDTOMAMK-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
ONB,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Onbekend,Onbekend,Onbekend,Onbekend,dr:Onbekend,Onbekend,wb:Onbekend,Onbekend,Onbekend,Onbekend
P_972,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cyaniden,CN- cox,"Cyaniden, chloor oxydeerbaar",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XFXPMWWXUTWYJX-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_13,chloor oxydeerbaar,,
P_444,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Lood,Pb,Lood,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WABPQHHGFIMREM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_975,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cyaniden,CN- ontb,"Cyaniden, ontbindbare",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XFXPMWWXUTWYJX-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_15,ontbindbare,,
